post_id,tweet,tweet_tokenizer,spacy,nltk_word_tokenize
11,@elonmusk And say u wanna buy #twitter to be able to sell 8 billion worth of Tesla share and shove your losses in people’ hole… while you had no intention of buying it at first place. @elonmusk is a dangerous man❌,"['@elonmusk', 'And', 'say', 'u', 'wanna', 'buy', '#twitter', 'to', 'be', 'able', 'to', 'sell', '8', 'billion', 'worth', 'of', 'Tesla', 'share', 'and', 'shove', 'your', 'losses', 'in', 'people', '’', 'hole', '…', 'while', 'you', 'had', 'no', 'intention', 'of', 'buying', 'it', 'at', 'first', 'place', '.', '@elonmusk', 'is', 'a', 'dangerous', 'man', '❌']","['@elonmusk', 'And', 'say', 'u', 'wanna', 'buy', '#', 'twitter', 'to', 'be', 'able', 'to', 'sell', '8', 'billion', 'worth', 'of', 'Tesla', 'share', 'and', 'shove', 'your', 'losses', 'in', 'people', '’', 'hole', '…', 'while', 'you', 'had', 'no', 'intention', 'of', 'buying', 'it', 'at', 'first', 'place', '.', '@elonmusk', 'is', 'a', 'dangerous', 'man', '❌']","['@', 'elonmusk', 'And', 'say', 'u', 'wan', 'na', 'buy', '#', 'twitter', 'to', 'be', 'able', 'to', 'sell', '8', 'billion', 'worth', 'of', 'Tesla', 'share', 'and', 'shove', 'your', 'losses', 'in', 'people', '’', 'hole…', 'while', 'you', 'had', 'no', 'intention', 'of', 'buying', 'it', 'at', 'first', 'place', '.', '@', 'elonmusk', 'is', 'a', 'dangerous', 'man❌']"
12,This three wheeled solar #electric car charges on the go💡 🎥@IntEngineering #innovation #ElectricVehicles #solarcar #Car #energy #Tesla #ElonMusk #technology #innovationnews  https://t.co/drBh3hbtFb,"['This', 'three', 'wheeled', 'solar', '#electric', 'car', 'charges', 'on', 'the', 'go', '💡', '🎥', '@IntEngineering', '#innovation', '#ElectricVehicles', '#solarcar', '#Car', '#energy', '#Tesla', '#ElonMusk', '#technology', '#innovationnews', 'https://t.co/drBh3hbtFb']","['This', 'three', 'wheeled', 'solar', '#', 'electric', 'car', 'charges', 'on', 'the', 'go', '💡', '🎥', '@IntEngineering', '#', 'innovation', '#', 'ElectricVehicles', '#', 'solarcar', '#', 'Car', '#', 'energy', '#', 'Tesla', '#', 'ElonMusk', '#', 'technology', '#', 'innovationnews', ' ', 'https://t.co/drBh3hbtFb']","['This', 'three', 'wheeled', 'solar', '#', 'electric', 'car', 'charges', 'on', 'the', 'go💡', '🎥', '@', 'IntEngineering', '#', 'innovation', '#', 'ElectricVehicles', '#', 'solarcar', '#', 'Car', '#', 'energy', '#', 'Tesla', '#', 'ElonMusk', '#', 'technology', '#', 'innovationnews', 'https', ':', '//t.co/drBh3hbtFb']"
13,Maybe they'll get a shot of @elonmusk 's space @Tesla he launched a while back!  👋👋👋👋👋  #JamesWebbSpaceTelescope #Biden #Musk #Space #SpaceX  https://t.co/4CW6WSdvuR,"['Maybe', ""they'll"", 'get', 'a', 'shot', 'of', '@elonmusk', ""'"", 's', 'space', '@Tesla', 'he', 'launched', 'a', 'while', 'back', '!', '👋', '👋', '👋', '#JamesWebbSpaceTelescope', '#Biden', '#Musk', '#Space', '#SpaceX', 'https://t.co/4CW6WSdvuR']","['Maybe', 'they', ""'ll"", 'get', 'a', 'shot', 'of', '@elonmusk', ""'s"", 'space', '@Tesla', 'he', 'launched', 'a', 'while', 'back', '!', ' ', '👋', '👋', '👋', '👋', '👋', ' ', '#', 'JamesWebbSpaceTelescope', '#', 'Biden', '#', 'Musk', '#', 'Space', '#', 'SpaceX', ' ', 'https://t.co/4CW6WSdvuR']","['Maybe', 'they', ""'ll"", 'get', 'a', 'shot', 'of', '@', 'elonmusk', ""'s"", 'space', '@', 'Tesla', 'he', 'launched', 'a', 'while', 'back', '!', '👋👋👋👋👋', '#', 'JamesWebbSpaceTelescope', '#', 'Biden', '#', 'Musk', '#', 'Space', '#', 'SpaceX', 'https', ':', '//t.co/4CW6WSdvuR']"
14,$TSLA 1/1 woke up &amp; making 40% on a trade 🤣   Bang!   @retradez @MandoTrading @MikeTone_ @Ivan_Avalos8 @ShivamThanvi  #tesla #tessie #spy #spx #LoveIsland  https://t.co/EjevsTQ9DX,"['$', 'TSLA', '1/1', 'woke', 'up', '&', 'making', '40', '%', 'on', 'a', 'trade', '🤣', 'Bang', '!', '@retradez', '@MandoTrading', '@MikeTone_', '@Ivan_Avalos8', '@ShivamThanvi', '#tesla', '#tessie', '#spy', '#spx', '#LoveIsland', 'https://t.co/EjevsTQ9DX']","['$', 'TSLA', '1/1', 'woke', 'up', '&', 'amp', ';', 'making', '40', '%', 'on', 'a', 'trade', '🤣', '  ', 'Bang', '!', '  ', '@retradez', '@MandoTrading', '@MikeTone', '_', '@Ivan_Avalos8', '@ShivamThanvi', ' ', '#', 'tesla', '#', 'tessie', '#', 'spy', '#', 'spx', '#', 'LoveIsland', ' ', 'https://t.co/EjevsTQ9DX']","['$', 'TSLA', '1/1', 'woke', 'up', '&', 'amp', ';', 'making', '40', '%', 'on', 'a', 'trade', '🤣', 'Bang', '!', '@', 'retradez', '@', 'MandoTrading', '@', 'MikeTone_', '@', 'Ivan_Avalos8', '@', 'ShivamThanvi', '#', 'tesla', '#', 'tessie', '#', 'spy', '#', 'spx', '#', 'LoveIsland', 'https', ':', '//t.co/EjevsTQ9DX']"
15,All Youngsters Role model 🤩  He is The Biggest Businessman &amp; Richest man In World  Our Name is The CEO of Tesla Motors &amp; SpaceX @elonmusk  #ElonMusk #Tesla #SpaceX #BusinessMan #Richestman  https://t.co/p375ycTqnG,"['All', 'Youngsters', 'Role', 'model', '🤩', 'He', 'is', 'The', 'Biggest', 'Businessman', '&', 'Richest', 'man', 'In', 'World', 'Our', 'Name', 'is', 'The', 'CEO', 'of', 'Tesla', 'Motors', '&', 'SpaceX', '@elonmusk', '#ElonMusk', '#Tesla', '#SpaceX', '#BusinessMan', '#Richestman', 'https://t.co/p375ycTqnG']","['All', 'Youngsters', 'Role', 'model', '🤩', ' ', 'He', 'is', 'The', 'Biggest', 'Businessman', '&', 'amp', ';', 'Richest', 'man', 'In', 'World', ' ', 'Our', 'Name', 'is', 'The', 'CEO', 'of', 'Tesla', 'Motors', '&', 'amp', ';', 'SpaceX', '@elonmusk', ' ', '#', 'ElonMusk', '#', 'Tesla', '#', 'SpaceX', '#', 'BusinessMan', '#', 'Richestman', ' ', 'https://t.co/p375ycTqnG']","['All', 'Youngsters', 'Role', 'model', '🤩', 'He', 'is', 'The', 'Biggest', 'Businessman', '&', 'amp', ';', 'Richest', 'man', 'In', 'World', 'Our', 'Name', 'is', 'The', 'CEO', 'of', 'Tesla', 'Motors', '&', 'amp', ';', 'SpaceX', '@', 'elonmusk', '#', 'ElonMusk', '#', 'Tesla', '#', 'SpaceX', '#', 'BusinessMan', '#', 'Richestman', 'https', ':', '//t.co/p375ycTqnG']"
16,"@CurrentRevolt An Amish lifestyle...lol. No word on not charging your Tesla &amp; riding horse and carriage,but hand wash your dishes.🙄 As a former Californian,they sent these warnings to us too. These are 🚩🚩of what's to come to Texas . PS,there's  almost no wind energy being produced rn either.  https://t.co/G6HJI0JDlr","['@CurrentRevolt', 'An', 'Amish', 'lifestyle', '...', 'lol', '.', 'No', 'word', 'on', 'not', 'charging', 'your', 'Tesla', '&', 'riding', 'horse', 'and', 'carriage', ',', 'but', 'hand', 'wash', 'your', 'dishes', '.', '🙄', 'As', 'a', 'former', 'Californian', ',', 'they', 'sent', 'these', 'warnings', 'to', 'us', 'too', '.', 'These', 'are', '🚩', '🚩', 'of', ""what's"", 'to', 'come', 'to', 'Texas', '.', 'PS', ',', ""there's"", 'almost', 'no', 'wind', 'energy', 'being', 'produced', 'rn', 'either', '.', 'https://t.co/G6HJI0JDlr']","['@CurrentRevolt', 'An', 'Amish', 'lifestyle', '...', 'lol', '.', 'No', 'word', 'on', 'not', 'charging', 'your', 'Tesla', '&', 'amp', ';', 'riding', 'horse', 'and', 'carriage', ',', 'but', 'hand', 'wash', 'your', 'dishes', '.', '🙄', 'As', 'a', 'former', 'Californian', ',', 'they', 'sent', 'these', 'warnings', 'to', 'us', 'too', '.', 'These', 'are', '🚩', '🚩', 'of', 'what', ""'s"", 'to', 'come', 'to', 'Texas', '.', 'PS', ',', 'there', ""'s"", ' ', 'almost', 'no', 'wind', 'energy', 'being', 'produced', 'rn', 'either', '.', ' ', 'https://t.co/G6HJI0JDlr']","['@', 'CurrentRevolt', 'An', 'Amish', 'lifestyle', '...', 'lol', '.', 'No', 'word', 'on', 'not', 'charging', 'your', 'Tesla', '&', 'amp', ';', 'riding', 'horse', 'and', 'carriage', ',', 'but', 'hand', 'wash', 'your', 'dishes.🙄', 'As', 'a', 'former', 'Californian', ',', 'they', 'sent', 'these', 'warnings', 'to', 'us', 'too', '.', 'These', 'are', '🚩🚩of', 'what', ""'s"", 'to', 'come', 'to', 'Texas', '.', 'PS', ',', 'there', ""'s"", 'almost', 'no', 'wind', 'energy', 'being', 'produced', 'rn', 'either', '.', 'https', ':', '//t.co/G6HJI0JDlr']"
17,Yesterday's Shoot (My 1st Tesla Shoot)  📸🎥 @redlinesproject   https://t.co/djJchmJF2p Owner: B Car: @Tesla  #Tesla #Model3 #TeslaModel3 #electric #cars #red #sundayvibes #sunset #photoshoot #behindthescenes #bts #cars #rt #turo #business #tech #goodmorning  https://t.co/3bLPilCFdR,"[""Yesterday's"", 'Shoot', '(', 'My', '1st', 'Tesla', 'Shoot', ')', '📸', '🎥', '@redlinesproject', 'https://t.co/djJchmJF2p', 'Owner', ':', 'B', 'Car', ':', '@Tesla', '#Tesla', '#Model3', '#TeslaModel3', '#electric', '#cars', '#red', '#sundayvibes', '#sunset', '#photoshoot', '#behindthescenes', '#bts', '#cars', '#rt', '#turo', '#business', '#tech', '#goodmorning', 'https://t.co/3bLPilCFdR']","['Yesterday', ""'s"", 'Shoot', '(', 'My', '1st', 'Tesla', 'Shoot', ')', ' ', '📸', '🎥', '@redlinesproject', '  ', 'https://t.co/djJchmJF2p', 'Owner', ':', 'B', 'Car', ':', '@Tesla', ' ', '#', 'Tesla', '#', 'Model3', '#', 'TeslaModel3', '#', 'electric', '#', 'cars', '#', 'red', '#', 'sundayvibes', '#', 'sunset', '#', 'photoshoot', '#', 'behindthescenes', '#', 'bts', '#', 'cars', '#', 'rt', '#', 'turo', '#', 'business', '#', 'tech', '#', 'goodmorning', ' ', 'https://t.co/3bLPilCFdR']","['Yesterday', ""'s"", 'Shoot', '(', 'My', '1st', 'Tesla', 'Shoot', ')', '📸🎥', '@', 'redlinesproject', 'https', ':', '//t.co/djJchmJF2p', 'Owner', ':', 'B', 'Car', ':', '@', 'Tesla', '#', 'Tesla', '#', 'Model3', '#', 'TeslaModel3', '#', 'electric', '#', 'cars', '#', 'red', '#', 'sundayvibes', '#', 'sunset', '#', 'photoshoot', '#', 'behindthescenes', '#', 'bts', '#', 'cars', '#', 'rt', '#', 'turo', '#', 'business', '#', 'tech', '#', 'goodmorning', 'https', ':', '//t.co/3bLPilCFdR']"
18,@SawyerMerritt People mad at Elon for [insert FUD]: “I’m never gonna buy a Tesla and instead will pay 10x more for a way worse product” 🙄 ok buddy  https://t.co/9aNMZ2Q9Vj,"['@SawyerMerritt', 'People', 'mad', 'at', 'Elon', 'for', '[', 'insert', 'FUD', ']:', '“', 'I', '’', 'm', 'never', 'gonna', 'buy', 'a', 'Tesla', 'and', 'instead', 'will', 'pay', '10x', 'more', 'for', 'a', 'way', 'worse', 'product', '”', '🙄', 'ok', 'buddy', 'https://t.co/9aNMZ2Q9Vj']","['@SawyerMerritt', 'People', 'mad', 'at', 'Elon', 'for', '[', 'insert', 'FUD', ']', ':', '“', 'I', '’m', 'never', 'gon', 'na', 'buy', 'a', 'Tesla', 'and', 'instead', 'will', 'pay', '10x', 'more', 'for', 'a', 'way', 'worse', 'product', '”', '🙄', 'ok', 'buddy', ' ', 'https://t.co/9aNMZ2Q9Vj']","['@', 'SawyerMerritt', 'People', 'mad', 'at', 'Elon', 'for', '[', 'insert', 'FUD', ']', ':', '“', 'I', '’', 'm', 'never', 'gon', 'na', 'buy', 'a', 'Tesla', 'and', 'instead', 'will', 'pay', '10x', 'more', 'for', 'a', 'way', 'worse', 'product', '”', '🙄', 'ok', 'buddy', 'https', ':', '//t.co/9aNMZ2Q9Vj']"
19,So funny thing about this guy - he picked me up in Scottsdale in a #Uber and we start talking about ⁦@elonmusk⁩ and ⁦@DogelonMars⁩ and #investing in he pulls out his phone shows me his #tesla stocks he has millions of dollars in Tesla and is #hodling for way more 💎👏  https://t.co/fGmEUekn1Z,"['So', 'funny', 'thing', 'about', 'this', 'guy', '-', 'he', 'picked', 'me', 'up', 'in', 'Scottsdale', 'in', 'a', '#Uber', 'and', 'we', 'start', 'talking', 'about', '\u2066', '@elonmusk', '\u2069', 'and', '\u2066', '@DogelonMars', '\u2069', 'and', '#investing', 'in', 'he', 'pulls', 'out', 'his', 'phone', 'shows', 'me', 'his', '#tesla', 'stocks', 'he', 'has', 'millions', 'of', 'dollars', 'in', 'Tesla', 'and', 'is', '#hodling', 'for', 'way', 'more', '💎', '👏', 'https://t.co/fGmEUekn1Z']","['So', 'funny', 'thing', 'about', 'this', 'guy', '-', 'he', 'picked', 'me', 'up', 'in', 'Scottsdale', 'in', 'a', '#', 'Uber', 'and', 'we', 'start', 'talking', 'about', '\u2066@elonmusk\u2069', 'and', '\u2066@DogelonMars\u2069', 'and', '#', 'investing', 'in', 'he', 'pulls', 'out', 'his', 'phone', 'shows', 'me', 'his', '#', 'tesla', 'stocks', 'he', 'has', 'millions', 'of', 'dollars', 'in', 'Tesla', 'and', 'is', '#', 'hodling', 'for', 'way', 'more', '💎', '👏', ' ', 'https://t.co/fGmEUekn1Z']","['So', 'funny', 'thing', 'about', 'this', 'guy', '-', 'he', 'picked', 'me', 'up', 'in', 'Scottsdale', 'in', 'a', '#', 'Uber', 'and', 'we', 'start', 'talking', 'about', '\u2066', '@', 'elonmusk\u2069', 'and', '\u2066', '@', 'DogelonMars\u2069', 'and', '#', 'investing', 'in', 'he', 'pulls', 'out', 'his', 'phone', 'shows', 'me', 'his', '#', 'tesla', 'stocks', 'he', 'has', 'millions', 'of', 'dollars', 'in', 'Tesla', 'and', 'is', '#', 'hodling', 'for', 'way', 'more', '💎👏', 'https', ':', '//t.co/fGmEUekn1Z']"
20,"""American Farm Truck""  Painted on a random used cigar box😀  #Tesla #ElonMusk #cybertruck #art #illustration  @elonmusk  https://t.co/fsm7GCdeEF","['""', 'American', 'Farm', 'Truck', '""', 'Painted', 'on', 'a', 'random', 'used', 'cigar', 'box', '😀', '#Tesla', '#ElonMusk', '#cybertruck', '#art', '#illustration', '@elonmusk', 'https://t.co/fsm7GCdeEF']","['""', 'American', 'Farm', 'Truck', '""', ' ', 'Painted', 'on', 'a', 'random', 'used', 'cigar', 'box', '😀', ' ', '#', 'Tesla', '#', 'ElonMusk', '#', 'cybertruck', '#', 'art', '#', 'illustration', ' ', '@elonmusk', ' ', 'https://t.co/fsm7GCdeEF']","['``', 'American', 'Farm', 'Truck', ""''"", 'Painted', 'on', 'a', 'random', 'used', 'cigar', 'box😀', '#', 'Tesla', '#', 'ElonMusk', '#', 'cybertruck', '#', 'art', '#', 'illustration', '@', 'elonmusk', 'https', ':', '//t.co/fsm7GCdeEF']"
21,Retweet selected by the  https://t.co/11ojAZA3Wf team |  Tesla's U.S. factory to stay open as coronavirus lockdown begins: report #technology  https://t.co/JO1tCX99ma  https://t.co/VRWbg8ZCWR,"['Retweet', 'selected', 'by', 'the', 'https://t.co/11ojAZA3Wf', 'team', '|', ""Tesla's"", 'U', '.', 'S', '.', 'factory', 'to', 'stay', 'open', 'as', 'coronavirus', 'lockdown', 'begins', ':', 'report', '#technology', 'https://t.co/JO1tCX99ma', 'https://t.co/VRWbg8ZCWR']","['Retweet', 'selected', 'by', 'the', ' ', 'https://t.co/11ojAZA3Wf', 'team', '|', ' ', 'Tesla', ""'s"", 'U.S.', 'factory', 'to', 'stay', 'open', 'as', 'coronavirus', 'lockdown', 'begins', ':', 'report', '#', 'technology', ' ', 'https://t.co/JO1tCX99ma', ' ', 'https://t.co/VRWbg8ZCWR']","['Retweet', 'selected', 'by', 'the', 'https', ':', '//t.co/11ojAZA3Wf', 'team', '|', 'Tesla', ""'s"", 'U.S.', 'factory', 'to', 'stay', 'open', 'as', 'coronavirus', 'lockdown', 'begins', ':', 'report', '#', 'technology', 'https', ':', '//t.co/JO1tCX99ma', 'https', ':', '//t.co/VRWbg8ZCWR']"
22,"In the coming future, #Tesla is gonna face some real competition from the Indian market, unless they #MakeInIndia. Kudos to #olaelectric for their amazing work.","['In', 'the', 'coming', 'future', ',', '#Tesla', 'is', 'gonna', 'face', 'some', 'real', 'competition', 'from', 'the', 'Indian', 'market', ',', 'unless', 'they', '#MakeInIndia', '.', 'Kudos', 'to', '#olaelectric', 'for', 'their', 'amazing', 'work', '.']","['In', 'the', 'coming', 'future', ',', '#', 'Tesla', 'is', 'gon', 'na', 'face', 'some', 'real', 'competition', 'from', 'the', 'Indian', 'market', ',', 'unless', 'they', '#', 'MakeInIndia', '.', 'Kudos', 'to', '#', 'olaelectric', 'for', 'their', 'amazing', 'work', '.']","['In', 'the', 'coming', 'future', ',', '#', 'Tesla', 'is', 'gon', 'na', 'face', 'some', 'real', 'competition', 'from', 'the', 'Indian', 'market', ',', 'unless', 'they', '#', 'MakeInIndia', '.', 'Kudos', 'to', '#', 'olaelectric', 'for', 'their', 'amazing', 'work', '.']"
23,"@elonmusk @GailAlfarATX @Tesla @teslacn @TeslaOwnersEBay @blueskykites @Kristennetten @JenniCurrent @daelmor @IheartTesla @EvrybodynthrMom #Dogecoin is essential to the future because there is close to no way two countries who use it as legal tender would ever bomb each other. Buying nukes with that cute little face? Nah, use it for love instead :)","['@elonmusk', '@GailAlfarATX', '@Tesla', '@teslacn', '@TeslaOwnersEBay', '@blueskykites', '@Kristennetten', '@JenniCurrent', '@daelmor', '@IheartTesla', '@EvrybodynthrMom', '#Dogecoin', 'is', 'essential', 'to', 'the', 'future', 'because', 'there', 'is', 'close', 'to', 'no', 'way', 'two', 'countries', 'who', 'use', 'it', 'as', 'legal', 'tender', 'would', 'ever', 'bomb', 'each', 'other', '.', 'Buying', 'nukes', 'with', 'that', 'cute', 'little', 'face', '?', 'Nah', ',', 'use', 'it', 'for', 'love', 'instead', ':)']","['@elonmusk', '@GailAlfarATX', '@Tesla', '@teslacn', '@TeslaOwnersEBay', '@blueskykites', '@Kristennetten', '@JenniCurrent', '@daelmor', '@IheartTesla', '@EvrybodynthrMom', '#', 'Dogecoin', 'is', 'essential', 'to', 'the', 'future', 'because', 'there', 'is', 'close', 'to', 'no', 'way', 'two', 'countries', 'who', 'use', 'it', 'as', 'legal', 'tender', 'would', 'ever', 'bomb', 'each', 'other', '.', 'Buying', 'nukes', 'with', 'that', 'cute', 'little', 'face', '?', 'Nah', ',', 'use', 'it', 'for', 'love', 'instead', ':)']","['@', 'elonmusk', '@', 'GailAlfarATX', '@', 'Tesla', '@', 'teslacn', '@', 'TeslaOwnersEBay', '@', 'blueskykites', '@', 'Kristennetten', '@', 'JenniCurrent', '@', 'daelmor', '@', 'IheartTesla', '@', 'EvrybodynthrMom', '#', 'Dogecoin', 'is', 'essential', 'to', 'the', 'future', 'because', 'there', 'is', 'close', 'to', 'no', 'way', 'two', 'countries', 'who', 'use', 'it', 'as', 'legal', 'tender', 'would', 'ever', 'bomb', 'each', 'other', '.', 'Buying', 'nukes', 'with', 'that', 'cute', 'little', 'face', '?', 'Nah', ',', 'use', 'it', 'for', 'love', 'instead', ':', ')']"
24,"@TD_Tesla Not all countries are gonna go for #BTC anyways, so not all 7-8b ppl will have crypto. Just like not all countries go for #USD now. The countries that will hold #BTC back will want to control their people with fiat currencies with inflationary environments.","['@TD_Tesla', 'Not', 'all', 'countries', 'are', 'gonna', 'go', 'for', '#BTC', 'anyways', ',', 'so', 'not', 'all', '7-8', 'b', 'ppl', 'will', 'have', 'crypto', '.', 'Just', 'like', 'not', 'all', 'countries', 'go', 'for', '#USD', 'now', '.', 'The', 'countries', 'that', 'will', 'hold', '#BTC', 'back', 'will', 'want', 'to', 'control', 'their', 'people', 'with', 'fiat', 'currencies', 'with', 'inflationary', 'environments', '.']","['@TD_Tesla', 'Not', 'all', 'countries', 'are', 'gon', 'na', 'go', 'for', '#', 'BTC', 'anyways', ',', 'so', 'not', 'all', '7', '-', '8b', 'ppl', 'will', 'have', 'crypto', '.', 'Just', 'like', 'not', 'all', 'countries', 'go', 'for', '#', 'USD', 'now', '.', 'The', 'countries', 'that', 'will', 'hold', '#', 'BTC', 'back', 'will', 'want', 'to', 'control', 'their', 'people', 'with', 'fiat', 'currencies', 'with', 'inflationary', 'environments', '.']","['@', 'TD_Tesla', 'Not', 'all', 'countries', 'are', 'gon', 'na', 'go', 'for', '#', 'BTC', 'anyways', ',', 'so', 'not', 'all', '7-8b', 'ppl', 'will', 'have', 'crypto', '.', 'Just', 'like', 'not', 'all', 'countries', 'go', 'for', '#', 'USD', 'now', '.', 'The', 'countries', 'that', 'will', 'hold', '#', 'BTC', 'back', 'will', 'want', 'to', 'control', 'their', 'people', 'with', 'fiat', 'currencies', 'with', 'inflationary', 'environments', '.']"
25,@abeerong Like tesla or a audi u got futuristic body,"['@abeerong', 'Like', 'tesla', 'or', 'a', 'audi', 'u', 'got', 'futuristic', 'body']","['@abeerong', 'Like', 'tesla', 'or', 'a', 'audi', 'u', 'got', 'futuristic', 'body']","['@', 'abeerong', 'Like', 'tesla', 'or', 'a', 'audi', 'u', 'got', 'futuristic', 'body']"
26,"@elonmusk I don’t know how to play chess, but this this pretty funny. Also Elon, I’m gonna get a Tesla someday.","['@elonmusk', 'I', 'don', '’', 't', 'know', 'how', 'to', 'play', 'chess', ',', 'but', 'this', 'this', 'pretty', 'funny', '.', 'Also', 'Elon', ',', 'I', '’', 'm', 'gonna', 'get', 'a', 'Tesla', 'someday', '.']","['@elonmusk', 'I', 'do', 'n’t', 'know', 'how', 'to', 'play', 'chess', ',', 'but', 'this', 'this', 'pretty', 'funny', '.', 'Also', 'Elon', ',', 'I', '’m', 'gon', 'na', 'get', 'a', 'Tesla', 'someday', '.']","['@', 'elonmusk', 'I', 'don', '’', 't', 'know', 'how', 'to', 'play', 'chess', ',', 'but', 'this', 'this', 'pretty', 'funny', '.', 'Also', 'Elon', ',', 'I', '’', 'm', 'gon', 'na', 'get', 'a', 'Tesla', 'someday', '.']"
27,"@elonmusk @GailAlfarATX @Tesla @teslacn @TeslaOwnersEBay @blueskykites @Kristennetten @JenniCurrent @daelmor @IheartTesla @EvrybodynthrMom Nah, i am gonna pass","['@elonmusk', '@GailAlfarATX', '@Tesla', '@teslacn', '@TeslaOwnersEBay', '@blueskykites', '@Kristennetten', '@JenniCurrent', '@daelmor', '@IheartTesla', '@EvrybodynthrMom', 'Nah', ',', 'i', 'am', 'gonna', 'pass']","['@elonmusk', '@GailAlfarATX', '@Tesla', '@teslacn', '@TeslaOwnersEBay', '@blueskykites', '@Kristennetten', '@JenniCurrent', '@daelmor', '@IheartTesla', '@EvrybodynthrMom', 'Nah', ',', 'i', 'am', 'gon', 'na', 'pass']","['@', 'elonmusk', '@', 'GailAlfarATX', '@', 'Tesla', '@', 'teslacn', '@', 'TeslaOwnersEBay', '@', 'blueskykites', '@', 'Kristennetten', '@', 'JenniCurrent', '@', 'daelmor', '@', 'IheartTesla', '@', 'EvrybodynthrMom', 'Nah', ',', 'i', 'am', 'gon', 'na', 'pass']"
28,"@elonmusk You were never gonna buy Twitter anyway because you can't afford it and didn't believe in free speech in the first place, you just wanted to buy it to bring your daddy trump back. Tesla sucks just like you","['@elonmusk', 'You', 'were', 'never', 'gonna', 'buy', 'Twitter', 'anyway', 'because', 'you', ""can't"", 'afford', 'it', 'and', ""didn't"", 'believe', 'in', 'free', 'speech', 'in', 'the', 'first', 'place', ',', 'you', 'just', 'wanted', 'to', 'buy', 'it', 'to', 'bring', 'your', 'daddy', 'trump', 'back', '.', 'Tesla', 'sucks', 'just', 'like', 'you']","['@elonmusk', 'You', 'were', 'never', 'gon', 'na', 'buy', 'Twitter', 'anyway', 'because', 'you', 'ca', ""n't"", 'afford', 'it', 'and', 'did', ""n't"", 'believe', 'in', 'free', 'speech', 'in', 'the', 'first', 'place', ',', 'you', 'just', 'wanted', 'to', 'buy', 'it', 'to', 'bring', 'your', 'daddy', 'trump', 'back', '.', 'Tesla', 'sucks', 'just', 'like', 'you']","['@', 'elonmusk', 'You', 'were', 'never', 'gon', 'na', 'buy', 'Twitter', 'anyway', 'because', 'you', 'ca', ""n't"", 'afford', 'it', 'and', 'did', ""n't"", 'believe', 'in', 'free', 'speech', 'in', 'the', 'first', 'place', ',', 'you', 'just', 'wanted', 'to', 'buy', 'it', 'to', 'bring', 'your', 'daddy', 'trump', 'back', '.', 'Tesla', 'sucks', 'just', 'like', 'you']"
29,@elonmusk @GailAlfarATX @Tesla @teslacn @TeslaOwnersEBay @blueskykites @Kristennetten @JenniCurrent @daelmor @IheartTesla @EvrybodynthrMom Lol In Nigeria here We are overpopulated for the type of infrastructure we have,"['@elonmusk', '@GailAlfarATX', '@Tesla', '@teslacn', '@TeslaOwnersEBay', '@blueskykites', '@Kristennetten', '@JenniCurrent', '@daelmor', '@IheartTesla', '@EvrybodynthrMom', 'Lol', 'In', 'Nigeria', 'here', 'We', 'are', 'overpopulated', 'for', 'the', 'type', 'of', 'infrastructure', 'we', 'have']","['@elonmusk', '@GailAlfarATX', '@Tesla', '@teslacn', '@TeslaOwnersEBay', '@blueskykites', '@Kristennetten', '@JenniCurrent', '@daelmor', '@IheartTesla', '@EvrybodynthrMom', 'Lol', 'In', 'Nigeria', 'here', 'We', 'are', 'overpopulated', 'for', 'the', 'type', 'of', 'infrastructure', 'we', 'have']","['@', 'elonmusk', '@', 'GailAlfarATX', '@', 'Tesla', '@', 'teslacn', '@', 'TeslaOwnersEBay', '@', 'blueskykites', '@', 'Kristennetten', '@', 'JenniCurrent', '@', 'daelmor', '@', 'IheartTesla', '@', 'EvrybodynthrMom', 'Lol', 'In', 'Nigeria', 'here', 'We', 'are', 'overpopulated', 'for', 'the', 'type', 'of', 'infrastructure', 'we', 'have']"
30,@iamraisini @elonmusk Imma assume you shorted Tesla ? Lol,"['@iamraisini', '@elonmusk', 'Imma', 'assume', 'you', 'shorted', 'Tesla', '?', 'Lol']","['@iamraisini', '@elonmusk', 'Imma', 'assume', 'you', 'shorted', 'Tesla', '?', 'Lol']","['@', 'iamraisini', '@', 'elonmusk', 'Imma', 'assume', 'you', 'shorted', 'Tesla', '?', 'Lol']"
